City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Souillac,MU,-20.5167,57.5167,1644209979,10.87,1013,75,81.36,100
Khatanga,RU,71.9667,102.5,1644209916,9.69,1033,98,-18.33,100
Scarborough,GB,54.2797,-0.4044,1644209979,1.99,1019,80,33.39,9
Te Anau,NZ,-45.4167,167.7167,1644209980,2.33,1017,41,71.38,23
Berbera,SO,10.4396,45.0143,1644209980,3.53,1015,75,77.9,69
Ancud,CL,-41.8697,-73.8203,1644209980,2.21,1015,90,53.13,4
Piranhas,BR,-16.4269,-51.8222,1644209981,2.01,1011,96,72.19,99
Tasiilaq,GL,65.6145,-37.6368,1644209982,63.1,965,57,16.7,100
Columbus,US,39.9612,-82.9988,1644209982,3.44,1023,94,23.31,75
Rome,US,43.2128,-75.4557,1644209983,3.0,1028,81,16.3,38
Fernie,CA,49.5,-115.0687,1644209983,4.63,1030,95,37.51,100
Progreso,MX,21.2833,-89.6667,1644209984,10.4,1018,81,71.11,3
Port Alfred,ZA,-33.5906,26.891,1644209984,1.61,1014,70,76.55,56
Vostok,RU,46.4856,135.8833,1644209985,6.96,1022,82,7.39,99
Sohbatpur,PK,28.5202,68.5434,1644209986,6.35,1017,27,68.94,5
Hermanus,ZA,-34.4187,19.2345,1644209986,2.24,1015,92,66.79,59
Kalabo,ZM,-14.97,22.6814,1644209987,6.35,1009,98,65.73,100
Jamestown,US,42.097,-79.2353,1644209987,6.73,1027,10,24.84,78
Atuona,PF,-9.8,-139.0333,1644209989,18.12,1013,78,78.85,42
Beringovskiy,RU,63.05,179.3167,1644209989,5.91,1023,95,-17.16,19
Caucaia,BR,-3.7361,-38.6531,1644209990,4.61,1010,75,81.03,40
Busselton,AU,-33.65,115.3333,1644209991,20.54,1009,42,68.04,49
Mossamedes,AO,-15.1961,12.1522,1644209991,7.34,1011,68,72.95,93
Lompoc,US,34.6391,-120.4579,1644209898,3.56,1023,51,55.08,0
Ushuaia,AR,-54.8,-68.3,1644209889,11.5,1005,72,60.46,40
Adamantas,GR,36.7333,24.4333,1644209991,17.2,1018,79,56.89,56
Hofn,IS,64.2539,-15.2082,1644209992,31.09,997,93,32.81,100
Muros,ES,42.7762,-9.0603,1644209992,9.98,1031,93,43.32,23
Vaini,TO,-21.2,-175.2,1644209933,11.5,1010,100,75.36,100
Mataura,NZ,-46.1927,168.8643,1644209994,5.14,1018,45,59.49,5
Byron Bay,AU,-28.65,153.6167,1644209937,18.41,1014,59,70.88,71
Tuktoyaktuk,CA,69.4541,-133.0374,1644209995,12.66,1008,75,-31.0,75
Punta Arenas,CL,-53.15,-70.9167,1644209995,8.05,1004,82,53.71,75
Dikson,RU,73.5069,80.5464,1644209488,16.55,1030,96,-12.95,100
Rikitea,PF,-23.1203,-134.9692,1644209996,17.98,1020,72,78.98,10
Bhisho,ZA,-32.8472,27.4422,1644209996,1.66,1015,61,63.23,95
Nikolskoye,RU,59.7035,30.7861,1644209996,7.16,991,97,34.14,100
Nuuk,GL,64.1835,-51.7216,1644209746,8.01,989,84,7.88,100
Laguna,US,38.421,-121.4238,1644209997,4.61,1024,76,49.48,0
Albany,US,42.6001,-73.9662,1644209997,2.62,1028,79,15.44,14
Turtas,RU,58.9417,69.1325,1644209998,8.57,1024,86,10.67,100
São João da Barra,BR,-21.6403,-41.0511,1644209998,15.66,1010,89,75.24,1
Aksha,RU,50.2814,113.2867,1644209998,8.88,1023,68,24.66,45
Thompson,CA,55.7435,-97.8558,1644209999,4.61,1013,77,-5.64,75
Mbour,SN,14.422,-16.9638,1644209999,8.84,1010,39,67.05,0
Savannah Bight,HN,16.45,-85.85,1644209999,8.46,1017,63,78.62,5
Cape Town,ZA,-33.9258,18.4232,1644210000,1.01,1016,88,63.57,75
Waddān,LY,29.1614,16.139,1644210001,6.42,1023,28,53.94,88
Kapaa,US,22.0752,-159.319,1644209884,1.99,1018,73,73.45,7
Yumen,CN,40.2833,97.2,1644210013,9.98,1031,55,19.74,100
Salalah,OM,17.0151,54.0924,1644209847,17.43,1019,28,71.46,67
Nouadhibou,MR,20.931,-17.0347,1644210028,11.36,1013,78,64.71,96
São Luís de Montes Belos,BR,-16.525,-50.3722,1644210031,1.7,1011,97,69.35,98
Taoudenni,ML,22.6783,-3.9836,1644210039,9.62,1017,15,62.96,35
Faanui,PF,-16.4833,-151.75,1644210042,20.36,1014,75,81.3,90
Bluff,NZ,-46.6,168.3333,1644210045,14.41,1021,68,59.81,0
Ribeira Grande,PT,38.5167,-28.7,1644210048,17.63,1027,83,60.85,10
Chipinge,ZW,-20.1883,32.6236,1644210049,3.06,1015,93,61.2,73
Rio Grande,BR,-32.035,-52.0986,1644210051,15.48,1012,61,56.95,0
Lorengau,PG,-2.0226,147.2712,1644210052,7.45,1006,72,84.38,98
Rāichūr,IN,16.2,77.3667,1644210052,6.46,1016,50,79.61,77
Ilulissat,GL,69.2167,-51.1,1644210053,12.66,987,66,6.82,40
Barrow,US,71.2906,-156.7887,1644210052,13.8,1023,68,-27.38,0
Quelimane,MZ,-17.8786,36.8883,1644209761,12.66,1008,94,76.95,75
Sulangan,PH,11.1373,123.7228,1644210054,7.92,1011,70,81.57,52
Qaanaaq,GL,77.484,-69.3632,1644210054,7.38,997,59,-11.18,27
Carnarvon,AU,-24.8667,113.6333,1644209781,23.02,1009,36,80.67,5
Keetmanshoop,NA,-26.5833,18.1333,1644210054,10.98,1014,45,77.07,93
Salamiyah,SY,35.0113,37.0532,1644210055,6.58,1022,85,47.68,100
Lavrentiya,RU,65.5833,-171.0,1644210056,8.88,1019,91,-20.47,59
Padre Bernardo,BR,-15.35,-48.5,1644210056,2.48,1012,89,67.96,100
Port Macquarie,AU,-31.4333,152.9167,1644210056,15.14,1017,59,72.9,76
Talcahuano,CL,-36.7167,-73.1167,1644210057,2.8,1013,86,58.26,0
Vardø,NO,70.3705,31.1107,1644210057,20.38,990,82,21.4,48
Longyearbyen,SJ,78.2186,15.6401,1644210059,12.66,988,73,17.44,75
Ponta do Sol,PT,32.6667,-17.1,1644210055,9.8,1023,68,60.53,10
Airai,TL,-8.9266,125.4092,1644209938,2.55,1009,74,71.83,57
Makkah al Mukarramah,SA,21.4267,39.8261,1644210060,2.28,1016,37,67.33,1
Puerto Escondido,MX,15.85,-97.0667,1644210061,3.98,1015,79,75.33,0
Castro,BR,-24.7911,-50.0119,1644210061,2.08,1013,89,60.13,6
Oyama,JP,36.3,139.8,1644210062,5.95,1019,20,46.65,0
Ayorou,NE,14.7308,0.9174,1644210062,9.69,1014,15,62.47,0
Rocha,UY,-34.4833,-54.3333,1644210063,14.43,1011,78,62.87,90
Esperance,AU,-33.8667,121.9,1644210065,23.29,1003,44,76.84,11
Mar del Plata,AR,-38.0023,-57.5575,1644210066,5.01,1016,79,65.08,30
Minnedosa,CA,50.2453,-99.8436,1644210066,8.59,1020,96,1.96,100
Saint-Philippe,RE,-21.3585,55.7679,1644210067,15.52,1014,82,81.73,95
Riverton,US,40.5219,-111.9391,1644210010,5.01,1032,69,28.22,1
Simao,CN,22.7886,100.9748,1644210067,5.03,1014,58,62.26,18
Collierville,US,35.042,-89.6645,1644210044,1.3,1025,82,28.15,0
Narsaq,GL,60.9167,-46.05,1644210068,20.04,978,76,12.42,100
Mahébourg,MU,-20.4081,57.7,1644210068,11.5,1014,83,80.89,75
Hualmay,PE,-11.0964,-77.6139,1644210069,7.02,1013,82,69.89,100
Evensk,RU,61.95,159.2333,1644210069,8.43,1021,73,2.12,1
Emba,KZ,48.8264,58.1442,1644210070,8.3,1018,97,12.49,100
Palmer,US,42.1584,-72.3287,1644209978,0.0,1033,79,17.1,75
Alta Floresta,BR,-9.8756,-56.0861,1644210070,1.79,1011,97,71.15,95
Muisne,EC,0.6,-80.0333,1644210071,3.98,1013,88,75.63,79
Hobart,AU,-42.8794,147.3294,1644209925,1.01,1022,42,77.07,20
Jardim,BR,-21.4803,-56.1381,1644210071,5.41,1013,87,68.56,69
Qiongshan,CN,20.0058,110.3542,1644210072,6.58,1014,77,75.09,77
Srednekolymsk,RU,67.45,153.6833,1644210072,0.89,1027,99,-30.78,26
Kibondo,TZ,-3.5864,30.7203,1644210073,3.44,1014,95,61.12,99
Sinnamary,GF,5.3833,-52.95,1644210075,7.76,1011,89,76.71,100
Sattenapalle,IN,16.4,80.1833,1644210076,5.91,1016,52,79.99,88
Abhā,SA,18.2164,42.5053,1644210077,4.32,1019,83,51.3,20
Kahului,US,20.8947,-156.47,1644210077,12.35,1018,67,68.97,21
Saint Paul Harbor,US,57.79,-152.4072,1644210078,7.54,991,66,30.9,100
Arbuzynka,UA,47.9097,31.3196,1644210079,10.98,1007,75,32.67,84
Sayyan,YE,15.1718,44.3244,1644210079,2.98,1019,48,52.77,33
Cururupu,BR,-1.8283,-44.8683,1644210080,2.53,1010,96,74.39,100
Avarua,CK,-21.2078,-159.775,1644210038,11.5,1014,83,78.85,40
Coyhaique,CL,-45.5752,-72.0662,1644209845,4.61,1013,72,62.55,0
Nālūt,LY,30.3333,10.85,1644210080,8.75,1022,27,51.85,97
Wattegama,LK,6.7989,81.4808,1644210081,10.65,1013,57,81.52,94
Tarragona,ES,41.129,1.249,1644210082,3.0,1015,70,47.08,7
Fort Nelson,CA,58.8053,-122.7002,1644210083,2.82,999,90,21.36,96
Margate,GB,51.3813,1.3862,1644210084,8.99,1024,72,39.74,11
Río Cuarto,AR,-33.1307,-64.3499,1644210084,7.63,1020,52,45.84,0
San Patricio,US,28.017,-97.5169,1644210085,9.01,1024,83,52.97,100
Saint George,US,37.1041,-113.5841,1644210086,5.99,1032,30,46.85,0
Yerbogachën,RU,61.2767,108.0108,1644210086,3.58,1025,94,-4.86,99
Bengkulu,ID,-3.8004,102.2655,1644210087,12.01,1010,63,84.24,95
Verkhnevilyuysk,RU,63.4453,120.3167,1644209882,7.05,1025,94,-8.99,100
Nizhniy Kuranakh,RU,58.8353,125.4869,1644210087,1.3,1022,92,5.23,100
Aksu,CN,41.1231,80.2644,1644210088,1.16,1031,36,28.08,100
Walvis Bay,NA,-22.9575,14.5053,1644210088,6.29,1012,79,68.09,82
Gumdag,TM,39.2061,54.5906,1644210089,9.62,1023,70,39.07,48
Olafsvik,IS,64.8945,-23.7142,1644210089,47.85,967,94,34.45,100
Laas,IT,46.6166,10.7002,1644209844,10.71,1009,93,30.38,100
Port-Cartier,CA,50.0334,-66.8654,1644210090,2.8,1031,96,3.74,100
Derzhavīnsk,KZ,51.1,66.3167,1644210090,15.61,1014,94,24.1,100
Grand Gaube,MU,-20.0064,57.6608,1644210091,5.01,1014,75,81.37,92
Ossora,RU,59.2353,163.0719,1644210092,9.93,1019,91,10.53,100
Huarmey,PE,-10.0681,-78.1522,1644210093,6.15,1013,80,71.01,100
Cidreira,BR,-30.1811,-50.2056,1644210093,8.61,1013,74,66.85,9
Portobelo,PA,9.55,-79.65,1644210095,9.71,1013,81,71.74,25
Upernavik,GL,72.7868,-56.1549,1644210096,6.91,989,100,-14.57,100
Bukachacha,RU,52.9833,116.9167,1644210096,2.55,1023,68,14.54,16
Chokurdakh,RU,70.6333,147.9167,1644209875,3.22,1028,99,-41.58,85
Puerto Ayora,EC,-0.7393,-90.3518,1644210047,7.36,1013,94,73.54,21
Conde,BR,-7.2597,-34.9075,1644210097,3.44,1011,88,74.66,20
Yangi Marg`ilon,UZ,40.4272,71.7189,1644210098,6.91,1025,87,38.12,75
Mehamn,NO,71.0357,27.8492,1644210099,12.75,986,81,23.18,87
San Juan,AR,-31.5375,-68.5364,1644209693,9.26,1015,37,72.55,0
Kearney,US,40.6995,-99.0815,1644210099,5.01,1024,49,33.22,0
Hilo,US,19.7297,-155.09,1644210099,3.0,1018,93,67.96,76
Chapais,CA,49.7834,-74.8492,1644210100,4.38,1023,96,4.78,100
Fujin,CN,47.26,132.0322,1644210101,10.27,1023,81,10.38,64
Hamilton,US,39.1834,-84.5333,1644209825,2.89,1023,88,25.52,100
Caravelas,BR,-17.7125,-39.2481,1644210102,5.1,1012,90,74.91,42
Anda,CN,46.4,125.3167,1644210102,8.43,1025,72,15.6,4
Fort Abbas,PK,29.1925,72.8536,1644210102,10.85,1017,41,66.61,4
Howard Springs,AU,-12.497,131.047,1644210104,7.05,1006,89,82.96,91
Amuntai,ID,-2.4177,115.2494,1644210105,4.23,1008,59,88.41,97
Boussé,BF,12.6606,-1.8922,1644210105,9.8,1012,16,64.83,0
Yarmouth,US,41.7057,-70.2286,1644210106,3.44,1033,76,30.15,40
Lebu,CL,-37.6167,-73.65,1644209892,13.67,1014,93,58.28,5
Juneau,US,58.3019,-134.4197,1644210025,5.55,996,99,40.42,100
New Norfolk,AU,-42.7826,147.0587,1644210107,3.0,1024,28,77.63,0
Paragominas,BR,-2.9667,-47.4833,1644210107,0.85,1011,99,71.22,100
Ponta Porã,BR,-22.5361,-55.7256,1644210108,4.7,1014,80,61.43,88
Arraial do Cabo,BR,-22.9661,-42.0278,1644210108,14.88,1009,93,74.86,1
Skagen,DK,57.7209,10.5839,1644210109,32.3,995,64,39.27,11
Mazagão,BR,-0.115,-51.2894,1644210109,2.68,1011,99,71.62,100
Āstāneh-ye Ashrafīyeh,IR,37.2596,49.9444,1644210110,5.41,1022,77,42.73,82
Salinópolis,BR,-0.6136,-47.3561,1644210111,7.61,1010,88,77.36,99
Mumbwa,ZM,-14.9783,27.0619,1644210111,5.95,1013,98,63.34,100
Santo Antônio do Sudoeste,BR,-26.0736,-53.7253,1644210112,4.43,1015,68,59.23,0
Porto Belo,BR,-27.1578,-48.5531,1644210112,10.31,1012,79,73.22,73
Cherskiy,RU,68.75,161.3,1644209874,1.77,1026,100,-30.44,38
Nara,JP,34.6851,135.8049,1644210113,8.63,1023,42,46.24,88
Port Augusta,AU,-32.5,137.7667,1644210113,16.55,1010,16,94.71,21
Darhan,MN,49.4867,105.9228,1644210114,7.25,1032,76,9.27,17
Borogontsy,RU,62.6683,131.1683,1644210114,3.53,1028,92,-18.67,100
La Asuncion,VE,11.0333,-63.8628,1644210115,12.66,1014,94,78.53,8
Butaritari,KI,3.0707,172.7902,1644210115,15.86,1008,76,81.79,58
Peabiru,BR,-23.9128,-52.3431,1644210117,6.17,1012,68,63.03,1
Tiksi,RU,71.6872,128.8694,1644210118,6.93,1028,98,-18.04,100
Whitehorse,CA,60.7161,-135.0538,1644210082,7.56,991,93,32.02,99
College,US,64.8569,-147.8028,1644210118,4.05,1000,78,-7.83,100
Camuy,PR,18.4838,-66.8449,1644210119,3.0,1018,96,71.15,28
Casma,CL,-41.0082,-73.1244,1644210119,2.98,1015,99,54.25,2
Homer,US,59.6425,-151.5483,1644210120,12.59,989,93,24.76,100
Khanpur,PK,28.6453,70.6567,1644210121,17.07,1017,34,66.07,5
Morón,AR,-34.6534,-58.6198,1644210122,6.71,1017,86,62.55,5
Danville,US,36.586,-79.395,1644209957,1.95,1028,70,25.92,0
Batagay-Alyta,RU,67.8006,130.4114,1644210124,2.24,1029,94,-21.44,100
Cagli,IT,43.5457,12.6527,1644210125,19.15,1008,81,48.45,87
Bridlington,GB,54.0831,-0.1919,1644210127,13.76,1020,72,34.14,16
Pevek,RU,69.7008,170.3133,1644209879,1.68,1028,99,-24.29,22
Kutum,SD,14.2,24.6667,1644210128,8.5,1021,35,44.91,15
Bredasdorp,ZA,-34.5322,20.0403,1644210129,4.27,1015,87,66.27,11
Fairbanks,US,64.8378,-147.7164,1644210129,3.98,998,76,-7.82,100
Khāsh,IR,28.2211,61.2158,1644210130,6.96,1018,27,50.31,5
Oudtshoorn,ZA,-33.5907,22.2014,1644210131,0.56,1014,38,62.96,2
Auki,SB,-8.7676,160.7034,1644210131,10.8,1006,80,83.52,100
Inhambane,MZ,-23.865,35.3833,1644210132,15.3,1011,71,78.8,85
Zvishavane,ZW,-20.3267,30.0665,1644210132,7.78,1016,82,63.12,55
Tezu,IN,27.9167,96.1667,1644209960,4.27,1017,41,67.19,1
Ubari,LY,26.5921,12.7805,1644210133,7.09,1022,25,50.0,44
Jinchang,CN,38.4953,102.1739,1644210133,5.57,1030,71,17.98,20
Bethel,US,41.3712,-73.414,1644210133,0.0,1032,84,22.39,75
Sidi Ali,DZ,36.0998,0.4206,1644210134,3.33,1026,84,48.2,0
Champasak,LA,14.75,106.0,1644210134,3.09,1011,35,93.7,100
Pimentel,PE,-6.8367,-79.9342,1644209873,9.71,1013,80,70.41,98
Northam,GB,51.0333,-4.2167,1644210135,6.29,1026,85,44.15,20
Deputatsky,RU,69.3,139.9,1644209990,4.83,1030,94,-32.8,85
Magadan,RU,59.5667,150.8,1644210136,10.22,1016,65,13.53,39
Estevan,CA,49.1334,-102.9842,1644210137,12.44,1016,80,26.22,50
Talnakh,RU,69.4865,88.3972,1644210137,2.08,1035,95,-26.07,56
Hong Kong,HK,22.2855,114.1577,1644210092,3.0,1016,88,62.29,100
Nishihara,JP,26.1842,127.7558,1644210139,14.97,1019,56,67.3,75
Saldanha,ZA,-33.0117,17.9442,1644210140,7.47,1015,97,62.38,37
San Miguel de Cozumel,MX,20.5083,-86.9458,1644210140,8.37,1017,95,70.95,22
Itarema,BR,-2.9248,-39.9167,1644210141,7.2,1010,84,76.95,2
Tuatapere,NZ,-46.1333,167.6833,1644210142,6.8,1020,48,59.83,0
Haverfordwest,GB,51.8017,-4.9691,1644210142,7.31,1025,84,40.69,37
Talara,PE,-4.5772,-81.2719,1644210143,10.92,1013,81,72.0,70
San Quintín,MX,30.4833,-115.95,1644210144,1.63,1022,47,57.34,0
Tukuyu,TZ,-9.25,33.65,1644210144,4.43,1015,87,61.77,100
Namtsy,RU,62.7161,129.6658,1644210145,2.73,1028,93,-29.09,99
Egvekinot,RU,66.3167,-179.1667,1644210145,11.1,1025,85,-14.71,4
Rawson,AR,-43.3002,-65.1023,1644210092,16.58,1016,55,62.92,0
Imbituba,BR,-28.24,-48.6703,1644210146,5.57,1013,81,71.22,60
San Cristobal,VE,7.7669,-72.225,1644210146,1.39,1015,83,66.45,63
Aswān,EG,24.0934,32.907,1644210147,9.46,1022,44,52.68,0
Coronado,US,32.6859,-117.1831,1644209975,1.01,1022,45,59.65,0
Inírida,CO,3.8653,-67.9239,1644210147,2.21,1010,94,73.33,76
Leningradskiy,RU,69.3833,178.4167,1644210148,3.58,1031,100,-28.39,62
